Avg_Betweenness,Avg_Closeness,Avg_Degree,Density,Diameter
445.6532,0.1244,2.3065,0.0188,20
652.9423,0.1096,2.2564,0.0146,21
476.7926,0.1259,2.3407,0.0175,16
419.7073,0.1298,2.3577,0.0193,17
427.7845,0.1221,2.2759,0.0198,20
176.9444,0.1717,2.4167,0.034,13
159.5238,0.1663,2.3175,0.0374,13
266.9643,0.1392,2.2619,0.0273,17
366.7768,0.1345,2.3214,0.0209,16
403.6148,0.1327,2.3443,0.0194,17
440.7213,0.1244,2.2951,0.019,19
471.0385,0.1231,2.2923,0.0178,18
466.5714,0.1263,2.3008,0.0174,18
522.3022,0.1208,2.3453,0.017,22
620.175,0.1169,2.3,0.0145,20
558.5658,0.1215,2.3289,0.0154,17
430.5841,0.1189,2.2478,0.0201,20
215.8429,0.1405,2.2571,0.0327,16
545.411,0.1211,2.274,0.0157,18
609.9299,0.117,2.3057,0.0148,20
729.1657,0.1068,2.2485,0.0134,23
671.488,0.1116,2.2771,0.0138,19
408.0932,0.1287,2.2881,0.0196,18
716.9096,0.1061,2.2771,0.0138,23
593.4497,0.1145,2.255,0.0152,22
522.3407,0.1175,2.2815,0.017,21
548.7407,0.1126,2.2667,0.0169,21
333.2752,0.1423,2.3486,0.0217,15
253.3793,0.1484,2.3218,0.027,14
327.0196,0.1372,2.2745,0.0225,15
697.0107,0.1211,2.3743,0.0128,20
393.1875,0.1269,2.3214,0.0209,17
251.85,0.1391,2.225,0.0282,17
415.0492,0.1298,2.2951,0.019,16
521.35,0.122,2.3286,0.0168,21
660.4503,0.1177,2.3392,0.0138,22
602.2086,0.1222,2.3436,0.0145,21
476.9355,0.1181,2.2581,0.0184,22
361.4412,0.1263,2.2353,0.0221,19
400.2232,0.1258,2.25,0.0203,18
562.0724,0.1224,2.3158,0.0153,18
448.1119,0.1326,2.3731,0.0178,18
717.6168,0.1069,2.2515,0.0136,20
649.8727,0.1143,2.303,0.014,19
684.8683,0.1114,2.2994,0.0139,21
564.3419,0.1222,2.3097,0.015,18
557.2069,0.1177,2.2897,0.0159,19
465.8162,0.1289,2.3235,0.0172,16
344.0,0.1393,2.3303,0.0216,16
513.5068,0.1292,2.4054,0.0164,18
632.5723,0.119,2.3494,0.0142,20
399.1339,0.1267,2.2857,0.0206,19
595.3895,0.1282,2.3721,0.0139,17
595.8072,0.1241,2.3614,0.0143,17
616.9032,0.1331,2.5054,0.0135,16
682.4341,0.1199,2.3846,0.0132,19
555.1338,0.1269,2.3694,0.0152,18
534.0657,0.117,2.292,0.0169,23
395.7706,0.1246,2.2385,0.0207,19
445.0472,0.1272,2.2992,0.0182,18
648.8553,0.1118,2.2642,0.0143,22
623.2346,0.1167,2.2963,0.0143,19
513.6963,0.1194,2.2667,0.0169,21
425.6984,0.131,2.3333,0.0187,17
696.6405,0.1024,2.2484,0.0148,27
525.9571,0.1208,2.3286,0.0168,21
521.7905,0.1276,2.3784,0.0162,18
491.6533,0.135,2.4267,0.0163,18
404.678,0.1306,2.3559,0.0201,19
467.0072,0.1321,2.3885,0.0173,18
770.4155,0.121,2.4155,0.0117,18
614.6145,0.1291,2.4581,0.0138,16
628.0393,0.1268,2.427,0.0137,20
665.0506,0.1216,2.4045,0.0136,23
348.69,0.1291,2.26,0.0228,18
312.0326,0.1318,2.2609,0.0248,17
342.5361,0.1263,2.2474,0.0234,18
454.4095,0.1242,2.315,0.0184,18
555.9404,0.1215,2.3179,0.0155,18
462.408,0.1208,2.272,0.0183,19
483.2615,0.1208,2.3231,0.018,19
526.9935,0.1296,2.3791,0.0157,20
617.5889,0.1298,2.4333,0.0136,18
597.6196,0.123,2.4049,0.0148,19
291.3864,0.1333,2.2727,0.0261,16
254.1169,0.1341,2.2078,0.029,17
592.7925,0.1207,2.3396,0.0148,18
790.5103,0.112,2.3402,0.0121,21
545.5608,0.123,2.3378,0.0159,22
593.2395,0.1262,2.3713,0.0143,19
732.1452,0.1161,2.3871,0.0129,21
419.5504,0.1365,2.3411,0.0183,16
248.8171,0.1431,2.2683,0.028,15
612.0679,0.1206,2.4074,0.015,22
725.9632,0.1191,2.3895,0.0126,23
540.7697,0.1254,2.3553,0.0156,20
612.4615,0.1165,2.3333,0.0151,22
577.7973,0.1175,2.3243,0.0158,22
219.1282,0.154,2.3077,0.03,14
459.907,0.1261,2.2946,0.0179,18
673.8313,0.1132,2.3494,0.0142,21
820.7437,0.1114,2.3518,0.0119,23
627.1408,0.1055,2.2113,0.0157,26
620.2603,0.1096,2.274,0.0157,25
264.9888,0.146,2.3146,0.0263,16
553.2102,0.1269,2.3694,0.0152,17
618.4465,0.118,2.3648,0.015,24
490.2403,0.1206,2.3101,0.018,21
