Avg_Betweenness,Avg_Closeness,Avg_Degree,Density,Diameter
9081.5486,0.2007,8.9503,0.002,11
6947.0694,0.2491,8.4055,0.0019,9
7856.9843,0.2255,8.522,0.0019,10
9561.5914,0.1923,8.3728,0.0019,11
9913.8692,0.1865,8.1841,0.0018,11
9550.373,0.1931,8.4391,0.0019,12
9690.3506,0.1909,8.8342,0.002,12
6753.5069,0.2545,9.2339,0.0021,8
9325.3374,0.1964,9.6662,0.0022,11
9202.9756,0.1986,9.4924,0.0021,12
10037.8241,0.1854,8.4825,0.0019,12
